video,model,running_mode,delegate,frames_total,frames_processed,stride,fps_src,detection_rate,mean_inference_ms,p50_inference_ms,p95_inference_ms,effective_fps,mean_visibility_keep,mean_presence_keep,occluded_frac_keep_mean,tracking_loss_events,longest_loss_streak_frames,jitter_world_m_mean,jitter_world_m_p95,wrist_speed_m_s_mean,wrist_speed_m_s_p95
fast.mp4,pose_landmarker_full,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,38.865767219981514,35.33869999955641,56.62853500034543,16.80514709300334,0.977780333676535,0.9866254594499686,0.0022228808535862473,0,0,0.0034858295418937987,0.00938107156303421,1.4126576370563455,3.2830794726787507
fast.mp4,pose_landmarker_heavy,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,134.13846265570274,133.84949999453966,136.8823299992073,6.0706294900740145,0.9572401638504363,0.9884414446215706,0.006335210432720807,0,0,0.003436883176070866,0.009782860852701311,1.3247921436107206,2.909364936984909
fast.mp4,pose_landmarker_lite,VIDEO,CPU,1928,1928,1,59.81385729058945,1.0,22.692291493845136,22.425499999371823,24.867739996261662,20.80363171156988,0.976931007560199,0.9836249815372013,0.0,0,0,0.0027857254544525843,0.007027457177150962,1.2520635011893346,2.8417054310181347
front_stay.mp4,pose_landmarker_full,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,34.69036944723321,34.28734999761218,37.80739500070922,18.957910936029315,0.9833386524575009,0.9819549868222113,0.0029048115596603595,0,0,0.0010361753730654929,0.0032609222954210863,0.17590418426569215,0.5318156649957443
front_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,133.56193065682703,133.3258999948157,136.3052949986013,6.4696800871374425,0.9661243934368553,0.992390811634782,0.017689557574854756,0,0,0.0010303963175034973,0.0030862466546103828,0.2088615826430316,0.6262550759643745
front_stay.mp4,pose_landmarker_lite,VIDEO,CPU,1918,1918,1,59.812931263292626,1.0,22.506983837558476,22.20829999714624,25.201519996335264,23.750753108147244,0.9744883704024332,0.976872530986072,0.0049530761209593335,0,0,0.0017522659185845973,0.005449280064112859,0.17106009391941532,0.4424515119988901
side_stay.mp4,pose_landmarker_full,VIDEO,CPU,1927,1927,1,60.0,1.0,34.67659309822103,34.30780000053346,37.76722000184236,18.864698572674364,0.7185266000965115,0.9642485377300536,0.3156275483727481,0,0,0.0026021646161749003,0.006996068236961689,0.31282883137817014,0.8773298120734545
side_stay.mp4,pose_landmarker_heavy,VIDEO,CPU,1927,1927,1,60.0,1.0,133.63034582242582,133.36060001165606,136.21932998939883,6.375276463226932,0.6690705254395947,0.9809566204639041,0.3249314256060493,0,0,0.001363150850073276,0.0039563591659337455,0.2826468457361901,0.7508801293277363
side_stay.mp4,pose_landmarker_lite,VIDEO,CPU,1927,1927,1,60.0,1.0,22.652837519433827,22.315000009257346,25.527960002364125,23.80114923632674,0.7330375288870189,0.9358477595918001,0.3249684928460226,0,0,0.001772396311011191,0.004849144630164139,0.2346391633665652,0.6927149086293406
slow.mp4,pose_landmarker_full,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,35.01115898638728,34.6642999938922,38.17511999804992,18.898474423699824,0.9650919024691734,0.968659064080154,0.013166556945358787,0,0,0.002719399373037545,0.007808898994663278,0.7564402006738714,1.923450287227717
slow.mp4,pose_landmarker_heavy,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,134.51133159233078,134.29030000406783,136.97436000511516,6.5392418876069645,0.9495383395145996,0.9848731276134011,0.027613195815960796,0,0,0.002182933457101078,0.005951411617546299,0.6917210836107008,1.6749841062815713
slow.mp4,pose_landmarker_lite,VIDEO,CPU,1953,1953,1,59.8773633111906,1.0,22.47506016422631,22.241400001803413,24.25370000128168,24.69131516416646,0.9571637897412627,0.9564630126466965,0.01693365518250311,0,0,0.0019674576952016113,0.005193486274619303,0.5805365371581248,1.4303970842919884
